How religious is your state?,,,,,,
"Source: Religious Landscape Study of U.S. adults conducted July 17, 2023-March 4, 2024.",,,,,,
"This sheet is view-only. You can only export this data into a CSV/Excel or other format by downloading. To download these tables, click “File” and then select “Download” to save in your preferred file format.",,,,,,
,,Terms of use,Religiousness scale,,,
,,Privacy policy,,,,
,Unweighted sample size,"Margin of error in percentage points 
(+/- at 95% confidence level)",High religiousness,Medium-high religiousness,Medium-low religiousness,Low religiousness
All U.S. adults,36908,0.8,30%,21%,25%,23%
,,,,,,
Alabama,498,6.2,40,29,15,16
Alaska,350,7.7,26,17,27,30
Arizona,712,5.5,27,22,31,20
Arkansas,348,7.3,40,28,20,11
California,3746,2.4,24,20,27,29
Colorado,596,6.1,24,18,25,33
Connecticut,372,6.8,23,20,27,31
Delaware,345,7.4,29,24,27,20
District of Columbia,344,7.3,18,19,35,27
Florida,2114,3.1,30,25,25,20
Georgia,858,4.7,38,25,25,12
Hawaii,348,8.1,21,19,34,27
Idaho,346,7.1,37,15,20,28
Illinois,835,4.8,31,21,23,25
Indiana,655,5.0,36,16,24,24
Iowa,310,7.8,21,23,32,23
Kansas,352,7.4,38,22,20,19
Kentucky,428,6.2,37,22,22,18
Louisiana,454,6.2,45,23,21,11
Maine,343,7.2,17,17,26,40
Maryland,568,6.1,27,25,25,23
Massachusetts,573,5.8,20,15,29,37
Michigan,1004,4.2,30,20,27,23
Minnesota,533,5.7,27,18,27,28
Mississippi,338,7.7,50,20,20,10
Missouri,633,5.2,33,17,23,26
Montana,363,7.3,33,13,21,33
Nebraska,329,7.0,30,26,26,18
Nevada,363,7.6,19,23,34,24
New Hampshire,313,8.0,15,15,26,44
New Jersey,900,4.4,29,19,29,23
New Mexico,348,7.1,34,21,21,23
New York,2013,3.0,25,20,29,27
North Carolina,1109,4.1,41,22,22,16
North Dakota,367,6.8,38,22,22,18
Ohio,1539,3.4,28,22,25,25
Oklahoma,375,7.1,38,23,20,20
Oregon,462,6.7,19,15,24,42
Pennsylvania,1446,3.6,26,21,27,26
Rhode Island,384,7.5,22,19,31,27
South Carolina,517,6.3,46,24,20,11
South Dakota,367,7.0,45,20,21,14
Tennessee,898,4.4,44,21,21,15
Texas,2988,2.5,36,25,23,16
Utah,340,7.3,42,12,21,25
Vermont,373,7.3,13,11,32,44
Virginia,906,4.5,35,20,23,23
Washington,878,4.7,25,15,25,36
West Virginia,335,7.0,29,26,23,21
Wisconsin,625,5.4,27,15,30,28
Wyoming,367,7.1,31,17,22,30
,,,,,,
"Note: The scale of religiousness is based on four questions: prayer frequency, belief in God and/or a universal spirit, religion’s importance, and religious service attendance. Each question was coded from 0 (low) to 2 (high). Prayer frequency is coded as 0 for those who seldom or never pray, 2 for those who pray daily, and 1 for everyone else. Belief in God/a universal spirit is coded as 0 for those who do not believe in God or a universal spirit, 2 for those who believe with absolute certainty, and 1 for everyone else. Religion’s importance is coded as 0 for those who say religion is “not too important” or “not at all important” in their lives, 2 for those who say religion is “very important” in their lives, and 1 for everyone else. Religious attendance is coded as 0 for those who say they seldom or never attend religious services, 2 for those who attend religious services at least once a month, and 1 for everyone else. These indicators were added together to form a scale ranging from 0 to 8, and then subdivided roughly into quartiles (scores of 0 to 1 in the lowest quartile, scores of 2 to 4 in the medium-low quartile, scores of 5 to 6 in the medium-high quartile, and scores of 7 to 8 in the highest quartile).",,,,,,
